Demo
net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 864 K-images (13 Kilo-batches_64) 
video file: in/GH010013.MP4
Video stream: 1920 x 1440 
Objects:


FPS:0.0 	 AVG_FPS:0.0
Objects:

Buds: 100% 	(left_x:  848   top_y:  702   width:   24   height:   29)
Buds: 100% 	(left_x: 1336   top_y:  447   width:   31   height:   24)
Buds: 100% 	(left_x:  255   top_y:  784   width:   28   height:   29)
Buds: 100% 	(left_x:  811   top_y:  254   width:   19   height:   26)
Buds: 100% 	(left_x: 1406   top_y:  132   width:   37   height:   33)
Buds: 100% 	(left_x:  325   top_y:  758   width:   33   height:   41)
Buds: 100% 	(left_x:  950   top_y:  444   width:   13   height:   17)
Buds: 100% 	(left_x: 1247   top_y:  245   width:   25   height:   36)
Buds: 99% 	(left_x:  798   top_y:  677   width:   35   height:   27)
Buds: 99% 	(left_x:  789   top_y:  292   width:   32   height:   33)
Buds: 98% 	(left_x: 1551   top_y:  287   width:   35   height:   32)
Buds: 98% 	(left_x: 1254   top_y:  346   width:   25   height:   23)
Buds: 96% 	(left_x: 1180   top_y:  703   width:   22   height:   25)
Buds: 87% 	(left_x:  914   top_y:  399   width:   19   height:   13)
Buds: 79% 	(left_x:  811   top_y:  289   width:   29   height:   33)
Buds: 31% 	(left_x:  800   top_y:  189   width:   24   height:   47)
Flowers: 100% 	(left_x: 1070   top_y:  916   width:   22   height:   26)
Flowers: 100% 	(left_x: 1067   top_y:  986   width:   27   height:   33)
Flowers: 100% 	(left_x: 1493   top_y: 1020   width:   23   height:   22)
Flowers: 100% 	(left_x: 1040   top_y:  941   width:   25   height:   27)
Flowers: 100% 	(left_x: 1170   top_y:  551   width:   27   height:   25)
Flowers: 100% 	(left_x: 1276   top_y:  382   width:   17   height:   24)
Flowers: 100% 	(left_x: 1216   top_y:  327   width:   19   height:   25)
Flowers: 100% 	(left_x: 1160   top_y:  446   width:   25   height:   27)
Flowers: 100% 	(left_x: 1108   top_y:  415   width:   22   height:   23)
Flowers: 100% 	(left_x:  882   top_y:  673   width:   27   height:   27)
Flowers: 99% 	(left_x:  429   top_y:  191   width:   42   height:   29)
Flowers: 99% 	(left_x:  973   top_y:  716   width:   28   height:   24)
Flowers: 99% 	(left_x:  363   top_y:  204   width:   39   height:   38)
Flowers: 99% 	(left_x: 1843   top_y:  540   width:   36   height:   33)
Flowers: 99% 	(left_x: 1028   top_y:  976   width:   29   height:   35)
Flowers: 99% 	(left_x: 1248   top_y:  308   width:   24   height:   29)
Flowers: 99% 	(left_x: 1798   top_y:  543   width:   35   height:   29)
Flowers: 99% 	(left_x: 1515   top_y: 1035   width:   23   height:   20)
Flowers: 98% 	(left_x:  924   top_y:  691   width:   26   height:   29)
Flowers: 98% 	(left_x: 1094   top_y:  964   width:   20   height:   33)
Flowers: 98% 	(left_x:   13   top_y: 1043   width:   23   height:   31)
Flowers: 97% 	(left_x: 1304   top_y:  457   width:   30   height:   29)
